airline,year,quarter,metric,source_type,reason_code
ALGT,2025,Q4,RPM,manual_only,NO_MANUAL_ROW
ALGT,2026,Q1,RPM,manual_only,NO_MANUAL_ROW
ALGT,2014,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2014,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2014,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2014,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2014,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2015,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2015,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2015,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2015,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2015,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2016,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2016,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2016,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2016,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2016,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2017,FY,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2017,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2017,Q2,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2017,Q3,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2017,Q4,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALGT,2018,Q1,Short-Term Investments,auto_xbrl,NO_AUTO_VALUE
ALK,2014,FY,ASM,manual_only,NO_MANUAL_ROW
