Airline,Year,Quarter,Passenger Revenue,RPM,ASM,Profit Sharing,Long-Term Debt,Operating Revenue,Operating Expenses,Net Income
DAL,2014,Q3,9776000000,56955000000,65926000000,384000000,,11178000000,10343000000,357000000
DAL,2014,Q4,8235000000,48028000000,58029000000,262000000,8188000000,9647000000,10475000000,-712000000
DAL,2015,FY,34782000000,209625000000,246764000000,1490000000,6531000000,40704000000,32902000000,4526000000
DAL,2015,Q1,7923000000,46221000000,56597000000,136000000,,9388000000,7990000000,746000000
DAL,2015,Q2,9139000000,54755000000,63937000000,411000000,,10707000000,8233000000,1485000000
DAL,2015,Q3,9595000000,59076000000,68031000000,563000000,,11107000000,8894000000,1315000000
DAL,2015,Q4,8125000000,49573000000,58199000000,380000000,6531000000,9502000000,7785000000,980000000
DAL,2016,FY,33777000000,213098000000,251867000000,1115000000,5999000000,39639000000,32687000000,4373000000
DAL,2016,Q1,7762000000,47725000000,58145000000,272000000,,9251000000,7711000000,946000000
DAL,2016,Q2,8970000000,56415000000,65979000000,324000000,,10447000000,8024000000,1546000000
DAL,2016,Q3,9071000000,58973000000,69028000000,326000000,,10483000000,8514000000,1259000000
DAL,2016,Q4,7974000000,49985000000,58715000000,193000000,5999000000,9458000000,8438000000,622000000
DAL,2017,FY,34819000000,217712000000,254325000000,1065000000,6295000000,41244000000,35130000000,3205000000
DAL,2017,Q1,7688000000,47952000000,57871000000,151000000,,9148000000,8095000000,603000000
DAL,2017,Q2,9231000000,57575000000,66227000000,338000000,,10791000000,8763000000,1224000000
DAL,2017,Q3,9399000000,61006000000,70167000000,314000000,,11060000000,9221000000,1178000000
DAL,2017,Q4,8501000000,51180000000,60060000000,262000000,6295000000,10245000000,9052000000,572000000
DAL,2018,FY,39755000000,225243000000,263365000000,1301000000,7959000000,44438000000,39174000000,3935000000
DAL,2018,Q1,8765000000,49276000000,59453000000,188000000,,9968000000,9128000000,557000000
DAL,2018,Q2,10546000000,59406000000,68514000000,404000000,8258000000,11775000000,10095000000,1036000000
DAL,2018,Q3,10796000000,63320000000,72875000000,399000000,7801000000,11953000000,10311000000,1322000000
DAL,2018,Q4,9647000000,53241000000,62523000000,311000000,7959000000,10742000000,9652000000,1019000000
